Sample,Loc,Number,File,Reads,Alignment,Path,Location
SFBY_083,SFBY,083,SFBY_083_R1.sort.flt.bam,494349,New Genome,/home/maccamp/data/longfin/SFBY_083_R1.sort.flt.bam,SFBY
SFBY_086,SFBY,086,SFBY_086_R1.sort.flt.bam,645071,New Genome,/home/maccamp/data/longfin/SFBY_086_R1.sort.flt.bam,SFBY
SFBY_088,SFBY,088,SFBY_088_R1.sort.flt.bam,566511,New Genome,/home/maccamp/data/longfin/SFBY_088_R1.sort.flt.bam,SFBY
SFBY_089,SFBY,089,SFBY_089_R1.sort.flt.bam,621522,New Genome,/home/maccamp/data/longfin/SFBY_089_R1.sort.flt.bam,SFBY
SFBY_090,SFBY,090,SFBY_090_R1.sort.flt.bam,445780,New Genome,/home/maccamp/data/longfin/SFBY_090_R1.sort.flt.bam,SFBY
SFBY_132,SFBY,132,SFBY_132_R1.sort.flt.bam,519280,New Genome,/home/maccamp/data/longfin/SFBY_132_R1.sort.flt.bam,SFBY
SFBY_134,SFBY,134,SFBY_134_R1.sort.flt.bam,170076,New Genome,/home/maccamp/data/longfin/SFBY_134_R1.sort.flt.bam,SFBY
SFBY_135,SFBY,135,SFBY_135_R1.sort.flt.bam,399537,New Genome,/home/maccamp/data/longfin/SFBY_135_R1.sort.flt.bam,SFBY
SFBY_137,SFBY,137,SFBY_137_R1.sort.flt.bam,229611,New Genome,/home/maccamp/data/longfin/SFBY_137_R1.sort.flt.bam,SFBY
SFBY_142,SFBY,142,SFBY_142_R1.sort.flt.bam,521560,New Genome,/home/maccamp/data/longfin/SFBY_142_R1.sort.flt.bam,SFBY
SFBY_144,SFBY,144,SFBY_144_R1.sort.flt.bam,391570,New Genome,/home/maccamp/data/longfin/SFBY_144_R1.sort.flt.bam,SFBY
SFBY_146,SFBY,146,SFBY_146_R1.sort.flt.bam,247772,New Genome,/home/maccamp/data/longfin/SFBY_146_R1.sort.flt.bam,SFBY
SFBY_148,SFBY,148,SFBY_148_R1.sort.flt.bam,373469,New Genome,/home/maccamp/data/longfin/SFBY_148_R1.sort.flt.bam,SFBY
SKNA_043,SKNA,043,SKNA_043_R1.sort.flt.bam,311513,New Genome,/home/maccamp/data/longfin/SKNA_043_R1.sort.flt.bam,SKNA
SKNA_044,SKNA,044,SKNA_044_R1.sort.flt.bam,378749,New Genome,/home/maccamp/data/longfin/SKNA_044_R1.sort.flt.bam,SKNA
SKNA_045,SKNA,045,SKNA_045_R1.sort.flt.bam,1213414,New Genome,/home/maccamp/data/longfin/SKNA_045_R1.sort.flt.bam,SKNA
SKNA_046,SKNA,046,SKNA_046_R1.sort.flt.bam,1587961,New Genome,/home/maccamp/data/longfin/SKNA_046_R1.sort.flt.bam,SKNA
SKNA_047,SKNA,047,SKNA_047_R1.sort.flt.bam,794029,New Genome,/home/maccamp/data/longfin/SKNA_047_R1.sort.flt.bam,SKNA
SKNA_048,SKNA,048,SKNA_048_R1.sort.flt.bam,1083029,New Genome,/home/maccamp/data/longfin/SKNA_048_R1.sort.flt.bam,SKNA
SKNA_049,SKNA,049,SKNA_049_R1.sort.flt.bam,198312,New Genome,/home/maccamp/data/longfin/SKNA_049_R1.sort.flt.bam,SKNA
SKNA_050,SKNA,050,SKNA_050_R1.sort.flt.bam,1051398,New Genome,/home/maccamp/data/longfin/SKNA_050_R1.sort.flt.bam,SKNA
SKNA_051,SKNA,051,SKNA_051_R1.sort.flt.bam,1400257,New Genome,/home/maccamp/data/longfin/SKNA_051_R1.sort.flt.bam,SKNA
SKNA_052,SKNA,052,SKNA_052_R1.sort.flt.bam,1221981,New Genome,/home/maccamp/data/longfin/SKNA_052_R1.sort.flt.bam,SKNA
SUIB_014,SUIB,014,SUIB_014_R1.sort.flt.bam,759415,New Genome,/home/maccamp/data/longfin/SUIB_014_R1.sort.flt.bam,SUIB
SUIB_015,SUIB,015,SUIB_015_R1.sort.flt.bam,1283054,New Genome,/home/maccamp/data/longfin/SUIB_015_R1.sort.flt.bam,SUIB
SUIB_016,SUIB,016,SUIB_016_R1.sort.flt.bam,1355966,New Genome,/home/maccamp/data/longfin/SUIB_016_R1.sort.flt.bam,SUIB
SUIB_017,SUIB,017,SUIB_017_R1.sort.flt.bam,832049,New Genome,/home/maccamp/data/longfin/SUIB_017_R1.sort.flt.bam,SUIB
SUIB_018,SUIB,018,SUIB_018_R1.sort.flt.bam,374368,New Genome,/home/maccamp/data/longfin/SUIB_018_R1.sort.flt.bam,SUIB
SUIB_019,SUIB,019,SUIB_019_R1.sort.flt.bam,940355,New Genome,/home/maccamp/data/longfin/SUIB_019_R1.sort.flt.bam,SUIB
SUIB_020,SUIB,020,SUIB_020_R1.sort.flt.bam,932247,New Genome,/home/maccamp/data/longfin/SUIB_020_R1.sort.flt.bam,SUIB
SUIB_021,SUIB,021,SUIB_021_R1.sort.flt.bam,1156152,New Genome,/home/maccamp/data/longfin/SUIB_021_R1.sort.flt.bam,SUIB
SUIB_023,SUIB,023,SUIB_023_R1.sort.flt.bam,929726,New Genome,/home/maccamp/data/longfin/SUIB_023_R1.sort.flt.bam,SUIB
SUIB_024,SUIB,024,SUIB_024_R1.sort.flt.bam,1186987,New Genome,/home/maccamp/data/longfin/SUIB_024_R1.sort.flt.bam,SUIB
SUIB_028,SUIB,028,SUIB_028_R1.sort.flt.bam,1080515,New Genome,/home/maccamp/data/longfin/SUIB_028_R1.sort.flt.bam,SUIB
SUIB_029,SUIB,029,SUIB_029_R1.sort.flt.bam,947433,New Genome,/home/maccamp/data/longfin/SUIB_029_R1.sort.flt.bam,SUIB
SUIB_030,SUIB,030,SUIB_030_R1.sort.flt.bam,1357408,New Genome,/home/maccamp/data/longfin/SUIB_030_R1.sort.flt.bam,SUIB
SUIB_031,SUIB,031,SUIB_031_R1.sort.flt.bam,482900,New Genome,/home/maccamp/data/longfin/SUIB_031_R1.sort.flt.bam,SUIB
SUIB_033,SUIB,033,SUIB_033_R1.sort.flt.bam,846282,New Genome,/home/maccamp/data/longfin/SUIB_033_R1.sort.flt.bam,SUIB
SUIB_040,SUIB,040,SUIB_040_R1.sort.flt.bam,645855,New Genome,/home/maccamp/data/longfin/SUIB_040_R1.sort.flt.bam,SUIB
SUIB_042,SUIB,042,SUIB_042_R1.sort.flt.bam,634433,New Genome,/home/maccamp/data/longfin/SUIB_042_R1.sort.flt.bam,SUIB
SUIB_043,SUIB,043,SUIB_043_R1.sort.flt.bam,846824,New Genome,/home/maccamp/data/longfin/SUIB_043_R1.sort.flt.bam,SUIB
SUIB_044,SUIB,044,SUIB_044_R1.sort.flt.bam,993165,New Genome,/home/maccamp/data/longfin/SUIB_044_R1.sort.flt.bam,SUIB
SUIB_046,SUIB,046,SUIB_046_R1.sort.flt.bam,802692,New Genome,/home/maccamp/data/longfin/SUIB_046_R1.sort.flt.bam,SUIB
YBAK_001,YBAK,001,YBAK_001_R1.sort.flt.bam,611498,New Genome,/home/maccamp/data/longfin/YBAK_001_R1.sort.flt.bam,YBAK
YBAK_002,YBAK,002,YBAK_002_R1.sort.flt.bam,1392621,New Genome,/home/maccamp/data/longfin/YBAK_002_R1.sort.flt.bam,YBAK
YBAK_003,YBAK,003,YBAK_003_R1.sort.flt.bam,785231,New Genome,/home/maccamp/data/longfin/YBAK_003_R1.sort.flt.bam,YBAK
YBAK_005,YBAK,005,YBAK_005_R1.sort.flt.bam,1380147,New Genome,/home/maccamp/data/longfin/YBAK_005_R1.sort.flt.bam,YBAK
YBAK_006,YBAK,006,YBAK_006_R1.sort.flt.bam,1086259,New Genome,/home/maccamp/data/longfin/YBAK_006_R1.sort.flt.bam,YBAK
YBAK_007,YBAK,007,YBAK_007_R1.sort.flt.bam,1221365,New Genome,/home/maccamp/data/longfin/YBAK_007_R1.sort.flt.bam,YBAK
YBAK_008,YBAK,008,YBAK_008_R1.sort.flt.bam,1264087,New Genome,/home/maccamp/data/longfin/YBAK_008_R1.sort.flt.bam,YBAK
YBAK_009,YBAK,009,YBAK_009_R1.sort.flt.bam,1203149,New Genome,/home/maccamp/data/longfin/YBAK_009_R1.sort.flt.bam,YBAK
YBAK_010,YBAK,010,YBAK_010_R1.sort.flt.bam,1155217,New Genome,/home/maccamp/data/longfin/YBAK_010_R1.sort.flt.bam,YBAK
YBAK_011,YBAK,011,YBAK_011_R1.sort.flt.bam,841957,New Genome,/home/maccamp/data/longfin/YBAK_011_R1.sort.flt.bam,YBAK
YBAK_012,YBAK,012,YBAK_012_R1.sort.flt.bam,668683,New Genome,/home/maccamp/data/longfin/YBAK_012_R1.sort.flt.bam,YBAK
YBAK_014,YBAK,014,YBAK_014_R1.sort.flt.bam,734572,New Genome,/home/maccamp/data/longfin/YBAK_014_R1.sort.flt.bam,YBAK
YBAK_015,YBAK,015,YBAK_015_R1.sort.flt.bam,1211705,New Genome,/home/maccamp/data/longfin/YBAK_015_R1.sort.flt.bam,YBAK
YBAK_016,YBAK,016,YBAK_016_R1.sort.flt.bam,1392226,New Genome,/home/maccamp/data/longfin/YBAK_016_R1.sort.flt.bam,YBAK
YBAK_017,YBAK,017,YBAK_017_R1.sort.flt.bam,1254641,New Genome,/home/maccamp/data/longfin/YBAK_017_R1.sort.flt.bam,YBAK
YBAK_018,YBAK,018,YBAK_018_R1.sort.flt.bam,1270060,New Genome,/home/maccamp/data/longfin/YBAK_018_R1.sort.flt.bam,YBAK
YBAK_020,YBAK,020,YBAK_020_R1.sort.flt.bam,1239618,New Genome,/home/maccamp/data/longfin/YBAK_020_R1.sort.flt.bam,YBAK
YBAK_021,YBAK,021,YBAK_021_R1.sort.flt.bam,1154727,New Genome,/home/maccamp/data/longfin/YBAK_021_R1.sort.flt.bam,YBAK
YBAK_022,YBAK,022,YBAK_022_R1.sort.flt.bam,660810,New Genome,/home/maccamp/data/longfin/YBAK_022_R1.sort.flt.bam,YBAK
YBAK_023,YBAK,023,YBAK_023_R1.sort.flt.bam,649354,New Genome,/home/maccamp/data/longfin/YBAK_023_R1.sort.flt.bam,YBAK
